Фирма,Область,Город,Дата накл,Факт.адрес доставки,Юр. адрес клиента,Клиент,Код клиента,Код подразд кл,ОКПО клиента,Лицензия,Дата окончания лицензии,Код товара,Штрих-код товара,Товар,Код мориона,ЕИ,Производитель,Поставщик,Количество,Склад/филиал
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/7/2021,"м. Вінниця, вул. Хмельницьке шосе, 92-А","Вінницька обл., Вінницький район, село Вінницькі Хутори, ВУЛИЦЯ НЕМИРІВСЬКЕ ШОСЕ, будинок 9","ПРИВАТНЕ ВИРОБНИЧО-КОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""БОГДАН"", ПП",16180,16180_9,30257070,АЕ №192257,12/31/2021,1323006,,Протаргол пор.д/р-ра д/интраназ.прим.0.2г фл.№1+р-ль одн.конт.крыш-кап./,352806,ШТ,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",2,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/11/2021,"м.Вінниця, вул.Мічуріна, 32","м.Вінниця, вул.Грушевського, 50 ,оф.13","Спецфармація, ТОВ",37588,37588_1,38585582,,,1323005,,Глюкоза-тест пор.д/орал.р-ра 75г конт.,190533,УП,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",5,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/4/2021,"м.Вінниця, вул.Князів Коріатовичів, 184, прим.2","Вінницька обл., місто Вінниця, ПЛОЩА ПРИВОКЗАЛЬНА, будинок 1","ФАРМАВІН , ТОВ",24498,24498_25,36604208,АЕ295009,10/7/2025,1323002,4820104990016,Бария сульфат д/рентгеноск.пор.д/п сусп.80г*,161310,УП,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/4/2021,"м.Вінниця, вул.Замостянська, 1","Вінницька обл., місто Вінниця, ПЛОЩА ПРИВОКЗАЛЬНА, будинок 1","ФАРМАВІН , ТОВ",24498,24498_10,36604208,АЕ295009,10/7/2025,1323002,4820104990016,Бария сульфат д/рентгеноск.пор.д/п сусп.80г*,161310,УП,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/1/2021,"м.Вінниця, вул.Пирогова, 46а","Вінницька обл., місто Вінниця, ПЛОЩА ПРИВОКЗАЛЬНА, будинок 1","ФАРМАВІН , ТОВ",24498,24498_12,36604208,АЕ295009,10/7/2025,1323002,4820104990016,Бария сульфат д/рентгеноск.пор.д/п сусп.80г*,161310,УП,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",10,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/4/2021,"м.Вінниця, вул.Соборна, 84","Вінницька обл., місто Вінниця, ПЛОЩА ПРИВОКЗАЛЬНА, будинок 1","ФАРМАВІН , ТОВ",24498,24498_26,36604208,АЕ295009,10/7/2025,1323002,4820104990016,Бария сульфат д/рентгеноск.пор.д/п сусп.80г*,161310,УП,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/4/2021,"м.Вінниця, пр-т Коцюбинського, 35, прим.50","Вінницька обл., місто Вінниця, ПЛОЩА ПРИВОКЗАЛЬНА, будинок 1","ФАРМАВІН , ТОВ",24498,24498_32,36604208,АЕ295009,10/7/2025,1323002,4820104990016,Бария сульфат д/рентгеноск.пор.д/п сусп.80г*,161310,УП,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",2,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/8/2021,"м.Вінниця, вул.Хмельницьке шосе, 96а","Вінницька обл., місто Вінниця, ПЛОЩА ПРИВОКЗАЛЬНА, будинок 1","ФАРМАВІН , ТОВ",24498,24498_28,36604208,АЕ295009,10/7/2025,1323005,,Глюкоза-тест пор.д/орал.р-ра 75г конт.,190533,УП,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",3,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/4/2021,"м.Вінниця, вул.Пирогова, земельна ділянка 52А","Вінницька обл., місто Вінниця, ПЛОЩА ПРИВОКЗАЛЬНА, будинок 1","ФАРМАВІН , ТОВ",24498,24498_18,36604208,АЕ295009,10/7/2025,1323005,,Глюкоза-тест пор.д/орал.р-ра 75г конт.,190533,УП,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",3,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/1/2021,"м.Вінниця, вул.Соборна, 26, прим.8","Київська обл., м. Київ, вул. Межова, буд. 18","Фармастор , ТОВ",15678,15678_309,34048360,АЕ №295239,12/31/2025,4785001,4820104990139,"Протаргол пор.д/р-ра д/интраназ.прим.0,2г фл.№1 +р-ль конт.с наз.распыл./",605003,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/6/2021,"м.Вінниця, пр-т Коцюбинського, 37, прим.50","Київська обл., м. Київ, вул. Межова, буд. 18","Фармастор , ТОВ",15678,15678_308,34048360,АЕ №295239,12/31/2025,4785001,4820104990139,"Протаргол пор.д/р-ра д/интраназ.прим.0,2г фл.№1 +р-ль конт.с наз.распыл./",605003,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/4/2021,"м.Вінниця, пр-т Юності, 20/73","Київська обл., м. Київ, вул. Межова, буд. 18","Фармастор , ТОВ",15678,15678_135,34048360,АЕ №295239,12/31/2025,4785001,4820104990139,"Протаргол пор.д/р-ра д/интраназ.прим.0,2г фл.№1 +р-ль конт.с наз.распыл./",605003,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/7/2021,"м. Вінниця, вул.Київська,27","Київська обл., м. Київ, вул. Межова, буд. 18","Фармастор , ТОВ",15678,15678_234,34048360,АЕ №295239,12/31/2025,4785001,4820104990139,"Протаргол пор.д/р-ра д/интраназ.прим.0,2г фл.№1 +р-ль конт.с наз.распыл./",605003,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/4/2021,"м.Вінниця, пр-т Юності, 20/73","Київська обл., м. Київ, вул. Межова, буд. 18","Фармастор , ТОВ",15678,15678_135,34048360,АЕ №295239,12/31/2025,4785007,4820104990207,Сорбит пищев.доб. 500г в полиэт.пакетах.в уп.,693911,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/8/2021,"м.Вінниця, пр-т Коцюбинського, 37, прим.50","Київська обл., м. Київ, вул. Межова, буд. 18","Фармастор , ТОВ",15678,15678_308,34048360,АЕ №295239,12/31/2025,4785003,4820104990191,Стрептоцид порош.накож.15г фл.полимер.,530461,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",2,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/7/2021,"м.Вінниця, пр-т Коцюбинського, 37, прим.50","Київська обл., м. Київ, вул. Межова, буд. 18","Фармастор , ТОВ",15678,15678_308,34048360,АЕ №295239,12/31/2025,4785003,4820104990191,Стрептоцид порош.накож.15г фл.полимер.,530461,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/1/2021,"м.Вінниця, пр-т Коцюбинського, 37, прим.50","Київська обл., м. Київ, вул. Межова, буд. 18","Фармастор , ТОВ",15678,15678_308,34048360,АЕ №295239,12/31/2025,4785003,4820104990191,Стрептоцид порош.накож.15г фл.полимер.,530461,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/6/2021,"м.Вінниця, вул.М.Оводова (Козицького), 51","Київська обл., м. Київ, вул. Межова, буд. 18","Фармастор , ТОВ",15678,15678_346,34048360,АЕ №295239,12/31/2025,1323005,,Глюкоза-тест пор.д/орал.р-ра 75г конт.,190533,УП,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/8/2021,"м.Вінниця, пр-т Юності, 20/73","Київська обл., м. Київ, вул. Межова, буд. 18","Фармастор , ТОВ",15678,15678_135,34048360,АЕ №295239,12/31/2025,1323006,,Протаргол пор.д/р-ра д/интраназ.прим.0.2г фл.№1+р-ль одн.конт.крыш-кап./,352806,ШТ,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/7/2021,"м.Вінниця, пр-т Юності, 12, прим.70","Вінницька обл., місто Вінниця, ВУЛИЦЯ М.ВАЩУКА, будинок 31, квартира 16","Хондока Н.М., ФОП",33023,33023_1,3261505182,б/н,12/31/2021,4785004,4820104990054,Магния Сульфат пор.д/орал.прим.25г саше /,91490,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",5,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВИННИЦА,10/7/2021,"м.Вінниця, вул.Київська, 126, прим.66","м.Київ, ВУЛИЦЯ ПАРКОВО-СИРЕЦЬКА, будинок 15-А","ЦЕНТРАЛЬНА ФАРМАЦЕВТИЧНА КОМПАНІЯ , ТОВ",32276,32276_16,38727372,"АЕ,№ 193410",10/15/2090,1323006,,Протаргол пор.д/р-ра д/интраназ.прим.0.2г фл.№1+р-ль одн.конт.крыш-кап./,352806,ШТ,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВОРОНОВИЦА,10/8/2021,"смт.Вороновиця, вул.Гагаріна, 20","Вінницька обл., місто Вінниця, ВУЛИЦЯ КЕЛЕЦЬКА, будинок 104, квартира 99",ЖЛОБНИЦЬКА Ю.А. ФОП,10132,10132_7,2918309226,АВ №598256,12/31/2025,4785001,4820104990139,"Протаргол пор.д/р-ра д/интраназ.прим.0,2г фл.№1 +р-ль конт.с наз.распыл./",605003,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ВОРОНОВИЦА,10/8/2021,"смт.Вороновиця, вул.Гагаріна, 20","Вінницька обл., місто Вінниця, ВУЛИЦЯ КЕЛЕЦЬКА, будинок 104, квартира 99",ЖЛОБНИЦЬКА Ю.А. ФОП,10132,10132_7,2918309226,АВ №598256,12/31/2025,1323006,,Протаргол пор.д/р-ра д/интраназ.прим.0.2г фл.№1+р-ль одн.конт.крыш-кап./,352806,ШТ,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ГАЙСИН,10/1/2021,"м.Гайсин, вул.Соборна, 56А","Вінницька обл., Гайсинський район ,м. Гайсин , вул. Івана Франка , буд. 30 кв.12","Мурзагалієва Ю.В. ,ФОП",40759,40759_1,3110805049,б/н,12/31/2200,4785001,4820104990139,"Протаргол пор.д/р-ра д/интраназ.прим.0,2г фл.№1 +р-ль конт.с наз.распыл./",605003,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",3,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ГАЙСИН,10/11/2021,"м.Гайсин, вул.Соборна, 56А","Вінницька обл., Гайсинський район ,м. Гайсин , вул. Івана Франка , буд. 30 кв.12","Мурзагалієва Ю.В. ,ФОП",40759,40759_1,3110805049,б/н,12/31/2200,4785001,4820104990139,"Протаргол пор.д/р-ра д/интраназ.прим.0,2г фл.№1 +р-ль конт.с наз.распыл./",605003,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",5,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ГАЙСИН,10/8/2021,"м. Гайсин, вул. 1Травня, 127","Вінницька обл., Гайсинський район, місто Гайсин, ВУЛИЦЯ 1 ТРАВНЯ, будинок 97, квартира 4","ПОЄДИНЧУК В.М. , ФОП",17166,17166_1,2462609929,АВ №579619,11/8/2025,4785003,4820104990191,Стрептоцид порош.накож.15г фл.полимер.,530461,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",3,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ГАЙСИН,10/12/2021,"м.Гайсин, вул.Інтернаціональна,18","Вінницька обл, Липовецький р-н, м. Липовець, вул. Щорса, 89","Рянічева Ю.О. , ФОП",20604,20604_1,3089917483,АЕ №192158,12/27/2025,4785003,4820104990191,Стрептоцид порош.накож.15г фл.полимер.,530461,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",2,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ГНИВАНЬ,10/13/2021,"м.Гнівань, вул.Леніна, 70","місто Київ, ПРОСПЕКТ ПЕРЕМОГИ, будинок 104","ТІІМ, ТОВ",14560,14560_1,33154730,АВ №518272,2/3/2030,4785004,4820104990054,Магния Сульфат пор.д/орал.прим.25г саше /,91490,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",10,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ГНИВАНЬ,10/8/2021,"м.Гнівань, вул.Леніна, 70","місто Київ, ПРОСПЕКТ ПЕРЕМОГИ, будинок 104","ТІІМ, ТОВ",14560,14560_1,33154730,АВ №518272,2/3/2030,1323006,,Протаргол пор.д/р-ра д/интраназ.прим.0.2г фл.№1+р-ль одн.конт.крыш-кап./,352806,ШТ,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ГНИВАНЬ,10/7/2021,"м.Гнівань, вул.Лісова, 4","м.Київ, ВУЛИЦЯ ПАРКОВО-СИРЕЦЬКА, будинок 15-А","ЦЕНТРАЛЬНА ФАРМАЦЕВТИЧНА КОМПАНІЯ , ТОВ",32276,32276_40,38727372,"АЕ,№ 193410",10/15/2090,4785003,4820104990191,Стрептоцид порош.накож.15г фл.полимер.,530461,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ЖМЕРИНКА,10/12/2021,"м. Жмеринка, вул.Київська,1в","місто Київ, ПРОСПЕКТ ЛІСОВИЙ, будинок 39-А","АВ ФАРМАЦІЯ, ТОВ",35594,35594_6,39478485,АЕ №637253,12/31/2023,4785003,4820104990191,Стрептоцид порош.накож.15г фл.полимер.,530461,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ЖМЕРИНКА,10/13/2021,"м.Жмеринка, вул.Київська, 288Е","місто Київ, ПРОСПЕКТ ЛІСОВИЙ, будинок 39-А","АВ ФАРМАЦІЯ, ТОВ",35594,35594_46,39478485,АЕ №637253,12/31/2023,4785003,4820104990191,Стрептоцид порош.накож.15г фл.полимер.,530461,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ЖМЕРИНКА,10/8/2021,"м.Жмеринка, вул.Пушкіна, 1","Київська обл.,м.Бровари,б-р Незалежності,17,секція 2, прим.1","АПТЕКА ДОБРОГО ДНЯ, ТОВ",33958,33958_36,39196410,АЕ № 194189,6/6/2060,4785001,4820104990139,"Протаргол пор.д/р-ра д/интраназ.прим.0,2г фл.№1 +р-ль конт.с наз.распыл./",605003,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ЖМЕРИНКА,10/11/2021,"м.Жмеринка, вул.Б.Хмельницького, 4","Київська обл.,м.Бровари,б-р Незалежності,17,секція 2, прим.1","АПТЕКА ДОБРОГО ДНЯ, ТОВ",33958,33958_35,39196410,АЕ № 194189,6/6/2060,4785007,4820104990207,Сорбит пищев.доб. 500г в полиэт.пакетах.в уп.,693911,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ЖМЕРИНКА,10/8/2021,"м.Жмеринка, вул.Пушкіна, 1","Київська обл.,м.Бровари,б-р Незалежності,17,секція 2, прим.1","АПТЕКА ДОБРОГО ДНЯ, ТОВ",33958,33958_36,39196410,АЕ № 194189,6/6/2060,4785003,4820104990191,Стрептоцид порош.накож.15г фл.полимер.,530461,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ЖМЕРИНКА,10/8/2021,"м.Жмеринка, вул.Б.Хмельницького, 4","Київська обл.,м.Бровари,б-р Незалежності,17,секція 2, прим.1","АПТЕКА ДОБРОГО ДНЯ, ТОВ",33958,33958_35,39196410,АЕ № 194189,6/6/2060,4785003,4820104990191,Стрептоцид порош.накож.15г фл.полимер.,530461,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",5,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ЖМЕРИНКА,10/6/2021,"м.Жмеринка, вул.Магістральна, 8 а, прим.2","Київська обл.,м.Бровари,б-р Незалежності,17,секція 2, прим.1","АПТЕКА ДОБРОГО ДНЯ, ТОВ",33958,33958_38,39196410,АЕ № 194189,6/6/2060,4785003,4820104990191,Стрептоцид порош.накож.15г фл.полимер.,530461,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",2,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ЖМЕРИНКА,10/12/2021,"м.Жмеринка, вул.Пушкіна, 1","Київська обл.,м.Бровари,б-р Незалежності,17,секція 2, прим.1","АПТЕКА ДОБРОГО ДНЯ, ТОВ",33958,33958_36,39196410,АЕ № 194189,6/6/2060,4785003,4820104990191,Стрептоцид порош.накож.15г фл.полимер.,530461,УП,"ТОВ ""Исток-Плюс"", Україна","Исток-плюс ООО,Запорожье(631)",3,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ЖМЕРИНКА,10/11/2021,"м.Жмеринка, вул.Пушкіна, 1","Київська обл.,м.Бровари,б-р Незалежності,17,секція 2, прим.1","АПТЕКА ДОБРОГО ДНЯ, ТОВ",33958,33958_36,39196410,АЕ № 194189,6/6/2060,1323006,,Протаргол пор.д/р-ра д/интраназ.прим.0.2г фл.№1+р-ль одн.конт.крыш-кап./,352806,ШТ,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ЖМЕРИНКА,10/13/2021,"м.Жмеринка, вул.Пушкіна, 1","Київська обл.,м.Бровари,б-р Незалежності,17,секція 2, прим.1","АПТЕКА ДОБРОГО ДНЯ, ТОВ",33958,33958_36,39196410,АЕ № 194189,6/6/2060,1323006,,Протаргол пор.д/р-ра д/интраназ.прим.0.2г фл.№1+р-ль одн.конт.крыш-кап./,352806,ШТ,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",2,Винница Сводный
"ТОВ ""БаДМ""",ВИННИЦКАЯ,ЖМЕРИНКА,10/8/2021,"м.Жмеринка, вул.Івана Франка, 72, прим.1","Київська обл.,м.Бровари,б-р Незалежності,17,секція 2, прим.1","АПТЕКА ДОБРОГО ДНЯ, ТОВ",33958,33958_37,39196410,АЕ № 194189,6/6/2060,1323006,,Протаргол пор.д/р-ра д/интраназ.прим.0.2г фл.№1+р-ль одн.конт.крыш-кап./,352806,ШТ,"ТОВ""Исток-Плюс"", м. Запоріжжя, Україна","Исток-плюс ООО,Запорожье(631)",1,Винница Сводный
